køn,herkomst,alder,uddannelse,2020,2021,2022,2023,2024,education_level
Mænd,Dansk oprindelse,25-29 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,24.0,24.0,32.0,43.0,38.0,Other
Mænd,Dansk oprindelse,25-29 år,H35 Adgangsgivende uddannelsesforløb,200.0,176.0,143.0,122.0,106.0,Low
Mænd,Dansk oprindelse,25-29 år,H3510 Adgangskurser - videregående udd.,2.0,1.0,1.0,1.0,0.0,Low
Mænd,Dansk oprindelse,25-29 år,H3520 Adgangseksamen - ingeniøruddannelse,198.0,175.0,142.0,121.0,106.0,Low
Mænd,Dansk oprindelse,25-29 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Mænd,Dansk oprindelse,25-29 år,H80 Ph.d. og forskeruddannelser,99.0,98.0,96.0,77.0,84.0,High
Mænd,Dansk oprindelse,25-29 år,KVU,18654.0,19524.0,19724.0,19854.0,20128.0,Medium
Mænd,Dansk oprindelse,25-29 år,LVU,40440.0,41788.0,42494.0,42988.0,42278.0,High
Mænd,Dansk oprindelse,25-29 år,MVU,34792.0,35726.0,36298.0,36048.0,35958.0,Medium
Mænd,Dansk oprindelse,25-29 år,H80 Ph.d. og forskeruddannelser,99.0,98.0,96.0,77.0,84.0,High
Mænd,Dansk oprindelse,30-34 år,BACH,8916.0,9224.0,9700.0,10138.0,10706.0,High
Mænd,Dansk oprindelse,30-34 år,H3091 Grundforløb,0.0,0.0,62.0,93.0,114.0,Low
Mænd,Dansk oprindelse,30-34 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,28.0,28.0,30.0,27.0,23.0,Other
Mænd,Dansk oprindelse,30-34 år,H35 Adgangsgivende uddannelsesforløb,138.0,121.0,114.0,107.0,93.0,Low
Mænd,Dansk oprindelse,30-34 år,H3510 Adgangskurser - videregående udd.,3.0,3.0,2.0,1.0,2.0,Low
Mænd,Dansk oprindelse,30-34 år,H3520 Adgangseksamen - ingeniøruddannelse,130.0,115.0,112.0,106.0,91.0,Low
Mænd,Dansk oprindelse,30-34 år,H3530 Adgangsgivende værkstedsskoleforløb,5.0,3.0,0.0,0.0,0.0,Low
Mænd,Dansk oprindelse,30-34 år,H80 Ph.d. og forskeruddannelser,1307.0,1279.0,1239.0,1228.0,1228.0,High
Mænd,Dansk oprindelse,30-34 år,KVU,16832.0,17262.0,18260.0,19596.0,20520.0,Medium
Mænd,Dansk oprindelse,30-34 år,LVU,49718.0,52700.0,55584.0,57820.0,60388.0,High
Mænd,Dansk oprindelse,30-34 år,MVU,40392.0,43330.0,45686.0,47918.0,49432.0,Medium
Mænd,Dansk oprindelse,30-34 år,H80 Ph.d. og forskeruddannelser,1307.0,1279.0,1239.0,1228.0,1228.0,High
Mænd,Dansk oprindelse,35-39 år,BACH,5860.0,5914.0,6002.0,6370.0,6798.0,High
Mænd,Dansk oprindelse,35-39 år,H3091 Grundforløb,0.0,0.0,27.0,38.0,46.0,Low
Mænd,Dansk oprindelse,35-39 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,23.0,28.0,31.0,35.0,22.0,Other
Mænd,Dansk oprindelse,35-39 år,H35 Adgangsgivende uddannelsesforløb,98.0,98.0,80.0,89.0,79.0,Low
Mænd,Dansk oprindelse,35-39 år,H3510 Adgangskurser - videregående udd.,0.0,1.0,2.0,3.0,2.0,Low
Mænd,Dansk oprindelse,35-39 år,H3520 Adgangseksamen - ingeniøruddannelse,84.0,84.0,78.0,86.0,77.0,Low
Mænd,Dansk oprindelse,35-39 år,H3530 Adgangsgivende værkstedsskoleforløb,14.0,13.0,0.0,0.0,0.0,Low
Mænd,Dansk oprindelse,35-39 år,H80 Ph.d. og forskeruddannelser,2181.0,2214.0,2199.0,2202.0,2248.0,High
Mænd,Dansk oprindelse,35-39 år,KVU,17428.0,17518.0,17448.0,17520.0,18062.0,Medium
Mænd,Dansk oprindelse,35-39 år,LVU,39040.0,40638.0,42492.0,45336.0,48220.0,High
Mænd,Dansk oprindelse,35-39 år,MVU,33952.0,35520.0,37562.0,39832.0,42504.0,Medium
Mænd,Dansk oprindelse,35-39 år,H80 Ph.d. og forskeruddannelser,2181.0,2214.0,2199.0,2202.0,2248.0,High
Mænd,Efterkommere,20-24 år,BACH,1248.0,1256.0,1226.0,1256.0,1420.0,High
Mænd,Efterkommere,20-24 år,H3091 Grundforløb,0.0,0.0,235.0,412.0,410.0,Low
Mænd,Efterkommere,20-24 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,3.0,8.0,13.0,5.0,6.0,Other
Mænd,Efterkommere,20-24 år,H35 Adgangsgivende uddannelsesforløb,17.0,9.0,5.0,7.0,11.0,Low
Mænd,Efterkommere,20-24 år,H3510 Adgangskurser - videregående udd.,8.0,4.0,0.0,1.0,5.0,Low
Mænd,Efterkommere,20-24 år,H3520 Adgangseksamen - ingeniøruddannelse,9.0,5.0,5.0,6.0,6.0,Low
Mænd,Efterkommere,20-24 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Mænd,Efterkommere,20-24 år,H80 Ph.d. og forskeruddannelser,0.0,0.0,5.0,5.0,3.0,High
Mænd,Efterkommere,20-24 år,KVU,728.0,872.0,870.0,960.0,1096.0,Medium
Mænd,Efterkommere,20-24 år,LVU,152.0,188.0,168.0,204.0,202.0,High
Mænd,Efterkommere,20-24 år,MVU,438.0,564.0,626.0,746.0,826.0,Medium
Mænd,Efterkommere,20-24 år,H80 Ph.d. og forskeruddannelser,0.0,0.0,5.0,5.0,3.0,High
Mænd,Efterkommere,25-29 år,BACH,1204.0,1240.0,1322.0,1352.0,1344.0,High
Mænd,Efterkommere,25-29 år,H3091 Grundforløb,0.0,0.0,39.0,82.0,134.0,Low
Mænd,Efterkommere,25-29 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,5.0,5.0,9.0,10.0,9.0,Other
Mænd,Efterkommere,25-29 år,H35 Adgangsgivende uddannelsesforløb,33.0,26.0,22.0,20.0,16.0,Low
Mænd,Efterkommere,25-29 år,H3510 Adgangskurser - videregående udd.,14.0,11.0,12.0,10.0,7.0,Low
Mænd,Efterkommere,25-29 år,H3520 Adgangseksamen - ingeniøruddannelse,19.0,15.0,10.0,10.0,9.0,Low
Mænd,Efterkommere,25-29 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Mænd,Efterkommere,25-29 år,H80 Ph.d. og forskeruddannelser,7.0,7.0,7.0,4.0,6.0,High
Mænd,Efterkommere,25-29 år,KVU,1192.0,1398.0,1546.0,1704.0,1816.0,Medium
Mænd,Efterkommere,25-29 år,LVU,2386.0,2714.0,3046.0,3158.0,3208.0,High
Mænd,Efterkommere,25-29 år,MVU,2352.0,2606.0,2868.0,3198.0,3518.0,Medium
Mænd,Efterkommere,25-29 år,H80 Ph.d. og forskeruddannelser,7.0,7.0,7.0,4.0,6.0,High
Mænd,Efterkommere,30-34 år,BACH,394.0,456.0,502.0,550.0,620.0,High
Mænd,Efterkommere,30-34 år,H3091 Grundforløb,0.0,0.0,1.0,8.0,9.0,Low
Mænd,Efterkommere,30-34 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,3.0,4.0,8.0,8.0,4.0,Other
Mænd,Efterkommere,30-34 år,H35 Adgangsgivende uddannelsesforløb,17.0,27.0,26.0,21.0,20.0,Low
Mænd,Efterkommere,30-34 år,H3510 Adgangskurser - videregående udd.,10.0,16.0,15.0,12.0,11.0,Low
Mænd,Efterkommere,30-34 år,H3520 Adgangseksamen - ingeniøruddannelse,7.0,11.0,11.0,9.0,9.0,Low
Mænd,Efterkommere,30-34 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Mænd,Efterkommere,30-34 år,H80 Ph.d. og forskeruddannelser,26.0,30.0,43.0,44.0,40.0,High
Mænd,Efterkommere,30-34 år,KVU,728.0,830.0,960.0,1036.0,1174.0,Medium
Mænd,Efterkommere,30-34 år,LVU,1614.0,2006.0,2296.0,2690.0,3192.0,High
